[FiberTypes]
name,nonlinearCoeff,effectiveArea,dispersion,nonlinearRefractiveIndex,attenuationCoeff,secondOrderDispersion,simulationModel
SMF-28,1.3,80,17,2.6,0.2,-21,GN
LEAF,1.5,72,4,2.7,0.21,-22,GN
TrueWave-RS,1.4,55,4.5,2.6,0.22,-23,EGN
G.654E,1.2,110,20,2.5,0.17,-22,GN
G.655,1.35,65,4,2.6,0.22,-20,GN

[AmplifierTypes]
name,gain,bandwidth,gainFlatness,noiseFigure,pumpPower,outputPower,gainRangePower
EDFA-C,18,35,0.5,5.5,200,17,15
EDFA-L,16,30,0.6,6,180,15,12
Raman-C,12,40,0.3,4.5,500,14,10
Hybrid-CL,20,70,0.4,5,350,18,16

[BranchingUnitTypes]
name,portCount,insertionLoss,wavelengthRange
BU-3P,3,0.8,1550
BU-4P,4,1.2,1550
BU-6P,6,1.8,1550
BU-8P,8,2.5,1550
